Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2016,Avery Young\YounAv01,OT,,Auburn,College Stats,6-5,328,5.39,,,,8.22,4.91,
2,2016,De'Runnya Wilson\WilsDe00,WR,,Mississippi State,College Stats,6-5,224,4.85,28.0,,113,,,
3,2016,Jonathan Williams\WillJo07,RB,1,Arkansas,College Stats,5-11,220,4.56,,16,,,,Buffalo Bills / 5th / 156th pick / 2016
4,2016,Duke Williams\WillDh00,WR,,Auburn,College Stats,6-2,229,4.72,30.0,14,121,7.43,4.47,
5,2016,Bryce Williams\WillBr08,TE,,East Carolina,College Stats,6-6,257,4.94,29.5,19,111,7.19,4.53,
6,2016,Brandon Wilds\WildBr01,RB,0,South Carolina,College Stats,6-1,220,4.54,36.5,21,118,7.08,4.33,
7,2016,Cody Whitehair\WhitCo03,OT,12,Kansas State,College Stats,6-4,301,5.02,25.5,16,110,7.32,4.58,Chicago Bears / 2nd / 56th pick / 2016
8,2016,Christian Westerman\WestCh02,OG,1,Arizona St,College Stats,6-3,298,5.12,,34,98,7.69,4.71,Cincinnati Bengals / 5th / 161st pick / 2016
9,2016,Carson Wentz\WentCa00,QB,24,North Dakota St,,6-5,237,4.77,30.5,,118,6.86,4.15,Philadelphia Eagles / 1st / 2nd pick / 2016
10,2016,Deandre Washington\WashDe00,RB,7,Texas Tech,College Stats,5-8,204,4.49,34.5,24,116,7.03,4.20,Oakland Raiders / 5th / 143rd pick / 2016
11,2016,Dan Vitale\VitaDa00,FB,0,Northwestern,College Stats,6-1,239,4.60,38.5,30,123,7.12,4.12,Tampa Bay Buccaneers / 6th / 197th pick / 2016
12,2016,Nick Vannett\VannNi00,TE,1,Ohio State,College Stats,6-6,257,4.76,30.5,17,111,7.05,4.20,Seattle Seahawks / 3rd / 94th pick / 2016
13,2016,Halapoulivaati Vaitai\VaitHa00,OT,8,Texas Christian,College Stats,6-6,320,5.26,29.0,23,113,8.26,5.00,Philadelphia Eagles / 5th / 164th pick / 2016
14,2016,Soma Vainuku\VainSo01,FB,,Southern California,College Stats,5-11,246,4.68,32.0,26,108,,,
15,2016,Landon Turner\TurnLa00,OG,,North Carolina,College Stats,6-4,330,5.58,19.0,30,88,,,
16,2016,Laremy Tunsil\TunsLa00,OT,12,Mississippi,College Stats,6-5,310,5.23,,,,,,Miami Dolphins / 1st / 13th pick / 2016
