Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2017,Jesus Wilson\WilsJe00,WR,0,Florida State,College Stats,5-9,189,4.57,,10,119,,4.57,
2,2017,Stanley Williams\WillSt03,RB,,Kentucky,College Stats,5-7,190,4.51,36.0,18,121,6.86,4.18,
3,2017,Mike Williams\WillMi07,WR,1,Clemson,College Stats,6-4,218,,32.5,15,121,,,Los Angeles Chargers / 1st / 7th pick / 2017
4,2017,Joe Williams\WillJo12,RB,,Utah,College Stats,5-11,210,4.41,35.0,14,125,7.19,4.19,San Francisco 49ers / 4th / 121st pick / 2017
5,2017,Jamaal Williams\WillJa06,RB,6,Brigham Young,College Stats,6-0,212,4.59,30.0,,123,7.25,4.53,Green Bay Packers / 4th / 134th pick / 2017
6,2017,Kermit Whitfield\WhitKe02,WR,,Florida State,College Stats,5-8,185,4.44,32.5,8,120,7.17,4.37,
7,2017,Chad Wheeler\WheeCh00,OT,2,Southern California,College Stats,6-7,306,5.48,20.5,15,105,,5.01,
8,2017,Dede Westbrook\WestDe00,WR,3,Oklahoma,College Stats,6-0,178,,,,,,,Jacksonville Jaguars / 4th / 110th pick / 2017
9,2017,Davis Webb\WebbDa00,QB,,California,College Stats,6-5,229,4.79,33.0,,118,6.92,4.21,New York Giants / 3rd / 87th pick / 2017
10,2017,Deshaun Watson\WatsDe00,QB,7,Clemson,College Stats,6-2,221,4.66,32.5,,119,6.95,4.31,Houston Texans / 1st / 12th pick / 2017
11,2017,Greg Ward Jr.\WardGr00,WR,,Houston,College Stats,5-11,186,,,10,,,,
12,2017,Mitchell Trubisky\TrubMi00,QB,7,North Carolina,College Stats,6-2,222,4.67,27.5,,116,6.87,4.25,Chicago Bears / 1st / 2nd pick / 2017
13,2017,Noel Thomas\ThomNo00,WR,,Connecticut,College Stats,6-0,205,4.63,32.5,9,118,,,
14,2017,Jahad Thomas\ThomJa02,RB,,Temple,College Stats,5-10,190,4.62,32.0,11,116,,,
15,2017,Sam Tevi\TeviSa00,OT,2,Utah,College Stats,6-5,311,5.27,26.0,15,107,7.84,4.60,Los Angeles Chargers / 6th / 190th pick / 2017
16,2017,Trent Taylor\TaylTr02,WR,3,Louisiana Tech,College Stats,5-8,181,4.63,33.0,13,117,6.74,4.01,San Francisco 49ers / 5th / 177th pick / 2017
17,2017,Taywan Taylor\TaylTa00,WR,2,Western Kentucky,College Stats,5-11,203,4.50,33.5,13,132,6.57,4.21,Tennessee Titans / 3rd / 72nd pick / 2017
18,2017,Ryan Switzer\SwitRy00,WR,1,North Carolina,College Stats,5-8,181,4.51,32.0,11,116,6.77,4.00,Dallas Cowboys / 4th / 133rd pick / 2017
19,2017,ArDarius Stewart\StewAr00,WR,1,Alabama,College Stats,5-11,204,4.49,34.0,,124,,,New York Jets / 3rd / 79th pick / 2017
20,2017,Freddie Stevenson\StevFr00,FB,,Florida State,College Stats,6-0,234,4.75,28.0,24,111,7.65,4.45,
21,2017,Jamari Staples\StapJa00,WR,,Louisville,College Stats,6-3,195,4.51,36.0,,130,,,
22,2017,Jeremy Sprinkle\SpriJe00,TE,0,Arkansas,College Stats,6-5,252,4.69,29.0,,116,,,Washington Redskins / 5th / 154th pick / 2017
23,2017,JuJu Smith-Schuster\SmitJu00,WR,10,Southern California,College Stats,6-1,215,4.54,32.5,15,120,,,Pittsburgh Steelers / 2nd / 62nd pick / 2017
24,2017,Jonnu Smith\SmitJo01,TE,1,Florida International,College Stats,6-3,248,4.62,38.0,22,127,,4.18,Tennessee Titans / 3rd / 100th pick / 2017
25,2017,De'Veon Smith\SmitDe06,RB,0,Michigan,College Stats,5-11,223,,29.0,22,108,7.30,4.56,
26,2017,Dan Skipper\SkipDa00,OT,0,Arkansas,College Stats,6-10,309,5.42,26.0,,97,7.61,5.01,
