Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2003,Walter Young\YounWa00,WR,0,Illinois,College Stats,6-5,214,4.54,39.0,,121,6.90,4.25,Carolina Panthers / 7th / 226th pick / 2003
2,2003,George Wrighster\WrigGe00,TE,9,Oregon,College Stats,6-2,249,4.89,34.5,16,115,7.24,,Jacksonville Jaguars / 4th / 104th pick / 2003
3,2003,Jason Witten\WittJa00,TE,113,Tennessee,College Stats,6-6,264,4.65,31.0,25,,,,Dallas Cowboys / 3rd / 69th pick / 2003
4,2003,Todd Williams\WillTo21,OT,1,Florida State,,6-5,340,5.08,32.5,27,108,8.06,4.54,Tennessee Titans / 7th / 225th pick / 2003
5,2003,Brett Williams\WillBr21,OT,0,Florida State,,6-5,321,5.25,27.5,,99,8.57,5.01,Kansas City Chiefs / 4th / 113th pick / 2003
6,2003,Taylor Whitley\WhitTa21,OG,4,Texas A&M,,6-4,321,5.18,30.0,28,106,7.95,4.58,Miami Dolphins / 3rd / 87th pick / 2003
7,2003,Reggie Wells\WellRe20,OT,46,Clarion,,6-3,300,5.16,29.0,23,104,8.35,4.56,Arizona Cardinals / 6th / 177th pick / 2003
8,2003,Kelley Washington\WashKe00,WR,14,Tennessee,College Stats,6-2,223,4.42,,,,,,Cincinnati Bengals / 3rd / 65th pick / 2003
9,2003,Kevin Ware\WareKe00,TE,0,Washington,College Stats,6-3,256,4.79,34.0,22,110,7.52,4.47,
10,2003,Seth Wand\WandSe20,OT,11,Northwest Missouri State,,6-7,321,5.14,31.5,20,107,7.61,4.50,Houston Texans / 3rd / 75th pick / 2003
11,2003,Seneca Wallace\WallSe00,QB,16,Iowa State,College Stats,5-11,196,4.56,38.0,,127,6.98,4.14,Seattle Seahawks / 4th / 110th pick / 2003
12,2003,Aaron Walker\WalkAa00,TE,3,Florida,College Stats,6-6,252,4.72,33.5,24,115,7.57,4.30,San Francisco 49ers / 5th / 161st pick / 2003
13,2003,Bobby Wade\WadeBo00,WR,25,Arizona,College Stats,5-10,193,4.66,34.5,,115,7.01,4.11,Chicago Bears / 5th / 139th pick / 2003
14,2003,Torrin Tucker\TuckTo20,OG,13,Southern Miss,,6-6,328,5.35,30.0,,103,8.39,4.97,
