Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2013,Robert Woods\WoodRo02,WR,28,Southern California,College Stats,6-0,201,4.51,33.5,14,117,7.15,4.47,Buffalo Bills / 2nd / 41st pick / 2013
2,2013,Cierre Wood\WoodCi00,RB,0,Notre Dame,College Stats,5-11,213,4.56,37.5,16,124,,,
3,2013,Brian Winters\WintBr00,OG,21,Kent State,,6-4,320,5.22,,9,,,,New York Jets / 3rd / 72nd pick / 2013
4,2013,George Winn\WinnGe00,RB,0,Cincinnati,College Stats,5-10,218,4.75,34.5,22,119,,,
5,2013,Tyler Wilson\WilsTy00,QB,,Arkansas,College Stats,6-2,215,4.95,28.5,,112,7.22,4.39,Oakland Raiders / 4th / 112th pick / 2013
6,2013,Marquess Wilson\WilsMa02,WR,6,Washington State,College Stats,6-3,194,4.51,34.5,7,122,6.65,4.33,Chicago Bears / 7th / 236th pick / 2013
7,2013,Braden Wilson\WilsBr00,FB,,Kansas State,College Stats,6-3,251,4.81,,22,,,,Kansas City Chiefs / 6th / 204th pick / 2013
8,2013,Terrance Williams\WillTe01,WR,31,Baylor,College Stats,6-2,208,4.52,32.5,11,119,7.01,4.32,Dallas Cowboys / 3rd / 74th pick / 2013
9,2013,Kerwynn Williams\WillKe05,RB,6,Utah State,College Stats,5-8,195,4.48,35.0,17,118,7.15,4.15,Indianapolis Colts / 7th / 230th pick / 2013
10,2013,Brennan Williams\WillBr03,OT,,North Carolina,College Stats,6-6,318,5.27,,,,,,Houston Texans / 3rd / 89th pick / 2013
11,2013,Markus Wheaton\WheaMa00,WR,13,Oregon State,College Stats,5-11,189,4.45,37.0,20,120,6.80,4.02,Pittsburgh Steelers / 3rd / 79th pick / 2013
12,2013,John Wetzel\WetzJo00,OT,9,Boston College,,6-7,315,5.46,25.0,22,105,7.90,4.81,
13,2013,Jason Weaver\WeavJa00,OT,,Southern Miss,,6-4,313,5.44,21.0,23,94,8.23,5.07,
14,2013,Menelik Watson\WatsMe00,OT,12,Florida State,,6-5,310,5.29,24.5,,103,8.31,5.01,Oakland Raiders / 2nd / 42nd pick / 2013
15,2013,Earl Watford\WatfEa00,OG,12,James Madison,,6-3,300,5.06,30.0,24,107,7.77,5.00,Arizona Cardinals / 4th / 116th pick / 2013
16,2013,Chance Warmack\WarmCh00,OG,22,Alabama,College Stats,6-2,317,5.49,,,110,,,Tennessee Titans / 1st / 10th pick / 2013
17,2013,Larry Warford\WarfLa00,OG,36,Kentucky,,6-3,332,5.58,22.5,28,96,7.78,5.10,Detroit Lions / 3rd / 65th pick / 2013
18,2013,Spencer Ware\WareSp00,RB,13,LSU,College Stats,5-10,228,4.62,,,,,,Seattle Seahawks / 6th / 194th pick / 2013
