Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2010,Sam Young\YounSa21,OT,13,Notre Dame,,6-8,316,5.20,29.5,29,104,7.73,4.87,Dallas Cowboys / 6th / 179th pick / 2010
2,2010,Trent Williams\WillTr21,OT,71,Oklahoma,College Stats,6-5,315,4.81,34.5,23,113,7.64,4.63,Washington Redskins / 1st / 4th pick / 2010
3,2010,Stephen Williams\WillSt01,WR,1,Toledo,College Stats,6-4,210,4.50,36.5,15,125,6.81,4.11,
4,2010,Mike Williams\WillMi04,WR,27,Syracuse,College Stats,6-1,221,4.53,33.5,8,116,6.90,4.31,Tampa Bay Buccaneers / 4th / 101st pick / 2010
5,2010,Kyle Williams\WillKy01,WR,6,Arizona State,College Stats,5-10,188,4.40,33.0,11,118,7.00,4.19,San Francisco 49ers / 6th / 206th pick / 2010
6,2010,Keiland Williams\WillKe03,RB,5,LSU,College Stats,5-11,233,4.52,,,,,,
7,2010,Damian Williams\WillDa04,WR,10,Southern California,College Stats,6-1,197,4.52,38.0,19,118,6.79,4.24,Tennessee Titans / 3rd / 77th pick / 2010
8,2010,Blair White\WhitBl00,WR,3,Michigan State,College Stats,6-2,209,4.49,33.5,18,115,6.69,4.03,
9,2010,Chastin West\WestCh00,WR,1,Fresno State,College Stats,6-0,212,4.59,33.5,15,113,,,
10,2010,Thomas Welch\WelcTh20,OT,2,Vanderbilt,College Stats,6-6,307,5.42,29.0,29,105,7.67,4.80,New England Patriots / 7th / 208th pick / 2010
11,2010,Tony Washington\WashTo00,OT,0,Abilene Christian,,6-6,311,5.25,29.5,33,114,7.52,4.84,
12,2010,Ed Wang\WangEd20,OT,0,Virginia Tech,College Stats,6-5,314,5.18,27.0,29,96,,4.70,Buffalo Bills / 5th / 140th pick / 2010
13,2010,Jared Veldheer\VeldJa20,OT,50,Hillsdale,,6-8,312,5.06,33.5,32,109,7.40,4.51,Oakland Raiders / 3rd / 69th pick / 2010
14,2010,Verran Tucker\TuckVe00,WR,1,California,College Stats,6-2,200,4.65,,,,,,
15,2010,Keith Toston\TostKe00,RB,2,Oklahoma State,College Stats,6-0,213,4.66,32.0,22,110,,4.67,
16,2010,Manase Tonga\TongMa00,FB,0,BYU,College Stats,5-11,245,4.84,32.0,19,105,7.44,4.69,
17,2010,Demaryius Thomas\ThomDe03,WR,73,Georgia Tech,College Stats,6-3,224,4.52,,,,,,Denver Broncos / 1st / 22nd pick / 2010
18,2010,Mike Tepper\TeppMi00,OG,2,California,,6-5,324,5.31,26.5,28,94,7.95,5.25,
19,2010,Tim Tebow\TeboTi00,QB,12,Florida,College Stats,6-3,236,4.71,38.5,,115,6.66,4.17,Denver Broncos / 1st / 25th pick / 2010
20,2010,Golden Tate\TateGo00,WR,58,Notre Dame,College Stats,5-10,199,4.42,35.0,17,120,7.12,4.34,Seattle Seahawks / 2nd / 60th pick / 2010
21,2010,Ben Tate\TateBe00,RB,15,Auburn,College Stats,5-11,220,4.34,40.5,26,124,6.91,4.12,Houston Texans / 2nd / 58th pick / 2010
22,2010,James Starks\StarJa00,RB,30,Buffalo,College Stats,6-2,218,4.50,36.0,15,119,6.89,4.23,Green Bay Packers / 6th / 193rd pick / 2010
23,2010,C.J. Spiller\SpilC.00,RB,37,Clemson,College Stats,5-11,196,4.37,,18,,,,Buffalo Bills / 1st / 9th pick / 2010
24,2010,Shelley Smith\SmitSh22,OG,7,Colorado State,,6-3,300,5.03,34.0,26,112,7.67,4.71,Houston Texans / 6th / 187th pick / 2010
