Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2006,Vince Young\YounVi00,QB,36,Texas,College Stats,6-5,229,4.48,,,,,,Tennessee Titans / 1st / 3rd pick / 2006
2,2006,Eric Winston\WinsEr20,OT,66,Miami (FL),College Stats,6-7,310,4.94,29.0,,108,7.47,4.44,Houston Texans / 3rd / 66th pick / 2006
3,2006,Travis Wilson\WilsTr00,WR,0,Oklahoma,College Stats,6-2,214,4.47,36.5,,120,6.70,3.99,Cleveland Browns / 3rd / 78th pick / 2006
4,2006,Demetrius Williams\WillDe03,WR,9,Oregon,College Stats,6-2,197,4.52,38.0,,127,6.84,4.08,Baltimore Ravens / 4th / 111th pick / 2006
5,2006,DeAngelo Williams\WillDe02,RB,73,Memphis,College Stats,5-9,214,4.45,35.5,25,121,,,Carolina Panthers / 1st / 27th pick / 2006
6,2006,Brandon Williams\WillBr01,WR,0,Wisconsin,College Stats,5-9,179,4.48,34.5,,115,6.87,4.07,San Francisco 49ers / 3rd / 84th pick / 2006
7,2006,LenDale White\WhitLe01,RB,15,Southern California,College Stats,6-0,238,4.49,,,,,,Tennessee Titans / 2nd / 45th pick / 2006
8,2006,Charlie Whitehurst\WhitCh02,QB,7,Clemson,College Stats,6-5,223,4.75,33.0,,112,7.00,4.11,San Diego Chargers / 3rd / 81st pick / 2006
9,2006,Andrew Whitworth\WhitAn20,OT,119,LSU,,6-7,334,5.16,30.5,28,112,8.23,4.83,Cincinnati Bengals / 2nd / 55th pick / 2006
10,2006,Guy Whimper\WhimGu20,OT,14,East Carolina,College Stats,6-5,304,4.96,29.0,26,102,7.38,4.59,New York Giants / 4th / 129th pick / 2006
11,2006,Jeff Webb\WebbJe00,WR,2,San Diego State,College Stats,6-2,211,4.40,37.0,,126,6.81,4.08,Kansas City Chiefs / 6th / 190th pick / 2006
12,2006,Todd Watkins\WatkTo20,WR,1,BYU,College Stats,6-2,202,4.40,36.0,15,118,7.13,4.24,Arizona Cardinals / 7th / 218th pick / 2006
13,2006,Leon Washington\WashLe00,RB,34,Florida State,College Stats,5-8,201,4.42,32.5,17,105,6.94,4.37,New York Jets / 4th / 117th pick / 2006
14,2006,Cooper Wallace\WallCo00,TE,0,Auburn,College Stats,6-4,261,4.78,29.0,21,105,7.29,4.21,
15,2006,Marcus Vick\VickMa20,QB,0,Virginia Tech,College Stats,6-0,200,4.47,36.0,,117,6.94,4.08,
16,2006,Lawrence Vickers\VickLa00,FB,3,Colorado,College Stats,6-0,245,4.82,30.5,21,104,7.74,4.63,Cleveland Browns / 6th / 180th pick / 2006
17,2006,Jeremy Trueblood\TrueJe20,OT,42,Boston College,,6-8,316,5.25,27.5,20,96,7.82,4.68,Tampa Bay Buccaneers / 2nd / 59th pick / 2006
18,2006,Michael Toudouze\ToudMi20,OT,1,TCU,,6-6,303,5.12,26.5,23,100,7.45,4.70,Indianapolis Colts / 5th / 162nd pick / 2006
19,2006,David Thomas\ThomDa02,TE,10,Texas,College Stats,6-3,252,4.67,37.5,19,113,7.05,4.34,New England Patriots / 3rd / 86th pick / 2006
20,2006,T.J. Williams,TE,,North Carolina State,College Stats,6-2,269,4.72,34.0,25,111,7.49,4.54,Tampa Bay Buccaneers / 6th / 202nd pick / 2006
21,2006,Naufahu Tahi\TahiNa00,FB,1,BYU,College Stats,6-0,254,4.85,29.0,35,101,7.72,4.70,
22,2006,Quinn Sypniewski\SypnQu00,TE,2,Colorado,College Stats,6-6,268,4.77,32.5,20,114,7.09,4.52,Baltimore Ravens / 5th / 166th pick / 2006
23,2006,Boone Stutz\StutBo00,LS,1,Texas A&M,College Stats,6-6,259,5.06,,,,,,
24,2006,Zach Strief\StriZa20,OT,62,Northwestern,College Stats,6-8,330,5.38,21.0,19,94,8.01,4.83,New Orleans Saints / 7th / 210th pick / 2006
25,2006,Maurice Stovall\StovMa00,WR,5,Notre Dame,College Stats,6-4,217,4.57,35.0,,122,6.81,4.14,Tampa Bay Buccaneers / 3rd / 90th pick / 2006
26,2006,Jason Spitz\SpitJa20,OG,25,Louisville,College Stats,6-3,313,5.40,28.5,25,102,7.82,4.55,Green Bay Packers / 3rd / 75th pick / 2006
27,2006,Charles Spencer\SpenCh20,OG,1,Pittsburgh,,6-5,352,5.25,,30,,,,Houston Texans / 3rd / 65th pick / 2006
28,2006,Isaac Sowells\SoweIs20,OG,0,Indiana,,6-3,324,5.15,28.5,20,101,8.13,4.98,Cleveland Browns / 4th / 112th pick / 2006
29,2006,Brad Smith\SmitBr01,WR,20,Missouri,College Stats,6-2,213,4.46,39.5,,128,7.00,4.33,New York Jets / 4th / 103rd pick / 2006
30,2006,Rob Sims\SimsRo20,OG,56,Ohio State,,6-3,307,5.25,,27,,,,Seattle Seahawks / 4th / 128th pick / 2006
31,2006,Mark Setterstrom\SettMa20,OG,5,Minnesota,,6-4,314,5.38,26.5,19,100,7.63,4.53,St. Louis Rams / 7th / 242nd pick / 2006
32,2006,Jonathan Scott\ScotJo22,OT,20,Texas,College Stats,6-6,315,5.32,24.5,,101,7.73,4.85,Detroit Lions / 5th / 141st pick / 2006
33,2006,Tony Scheffler\ScheTo00,TE,28,Western Michigan,College Stats,6-5,254,4.54,33.5,17,115,6.81,4.01,Denver Broncos / 2nd / 61st pick / 2006
34,2006,Derrick Ross\RossDe00,RB,0,Tarleton State,,5-10,226,4.56,35.0,20,112,7.00,4.35,
35,2006,Cory Ross\RossCo00,RB,0,Nebraska,College Stats,5-6,201,4.58,,15,,,,
36,2006,Dennis Roland\RolaDe20,OT,16,Georgia,,6-10,328,5.28,,19,,,,
37,2006,Michael Robinson\RobiMi00,WR,8,Penn State,College Stats,6-1,227,4.57,,,,,,San Francisco 49ers / 4th / 100th pick / 2006
38,2006,Willie Reid\ReidWi00,WR,1,Florida State,College Stats,5-10,188,4.34,37.5,,117,7.06,4.26,Pittsburgh Steelers / 3rd / 95th pick / 2006
39,2006,Leonard Pope\PopeLe00,TE,7,Georgia,College Stats,6-8,258,4.62,37.5,22,118,7.47,4.67,Arizona Cardinals / 3rd / 72nd pick / 2006
40,2006,Jason Pociask\PociJa00,TE,0,Wisconsin,College Stats,6-3,266,4.84,32.5,23,115,7.31,4.30,New York Jets / 5th / 150th pick / 2006
41,2006,Cedric Humes,RB,,Virginia Tech,College Stats,6-1,227,4.62,30.5,18,106,7.07,4.22,Pittsburgh Steelers / 7th / 240th pick / 2006
42,2006,Charles Davis,TE,,Purdue,College Stats,6-5,263,4.87,31.5,27,108,7.53,4.37,Pittsburgh Steelers / 5th / 167th pick / 2006
43,2006,Omar Jacobs,QB,,Bowling Green,College Stats,6-4,232,4.84,32.5,,108,7.47,4.29,Pittsburgh Steelers / 5th / 164th pick / 2006
44,2006,Terrance Pennington\PennTe20,OT,4,New Mexico,,6-7,325,5.39,28.5,28,102,,,Buffalo Bills / 7th / 216th pick / 2006
45,2006,Donald Penn\PennDo20,OT,87,Utah State,College Stats,6-4,317,5.05,,21,,,,
46,2006,Jonathan Orr,WR,,Wisconsin,College Stats,6-2,198,4.44,35.5,,119,7.31,4.16,Tennessee Titans / 6th / 172nd pick / 2006
47,2006,Quinn Ojinnaka\OjinQu20,OT,13,Syracuse,,6-5,309,5.44,28.5,21,102,8.45,5.11,Atlanta Falcons / 5th / 139th pick / 2006
48,2006,Ryan O'Callaghan\OCalRy20,OT,13,California,,6-7,344,5.39,25.0,21,92,,,New England Patriots / 5th / 136th pick / 2006
49,2006,Ben Obomanu\ObomBe00,WR,10,Auburn,College Stats,6-1,205,4.45,38.0,,116,7.17,4.21,Seattle Seahawks / 7th / 249th pick / 2006
50,2006,Jerious Norwood\NorwJe00,RB,21,Mississippi State,College Stats,6-0,210,4.40,36.5,15,122,6.81,4.25,Atlanta Falcons / 3rd / 79th pick / 2006
51,2006,Martin Nance\NancMa00,WR,0,Miami (OH),College Stats,6-4,213,4.55,33.5,,112,6.91,4.08,
52,2006,Sinorice Moss\MossSi00,WR,4,Miami (FL),College Stats,5-8,185,4.38,,,,,,New York Giants / 2nd / 44th pick / 2006
53,2006,Anthony Mix\MixxAn00,WR,0,Auburn,College Stats,6-4,235,4.48,31.5,,111,,,
54,2006,Garrett Mills\MillGa01,FB,1,Tulsa,College Stats,6-1,241,4.64,35.5,23,111,6.81,4.05,New England Patriots / 4th / 106th pick / 2006
55,2006,Paul McQuistan\McQuPa21,OT,26,Weber State,,6-6,312,5.07,29.5,28,110,7.72,4.62,Oakland Raiders / 3rd / 69th pick / 2006
56,2006,Reggie McNeal\McNeRe00,QB,0,Texas A&M,College Stats,6-2,198,4.40,32.0,,121,6.96,4.25,Cincinnati Bengals / 6th / 193rd pick / 2006
57,2006,Marcus McNeill\McNeMa20,OT,53,Auburn,College Stats,6-8,336,5.07,31.0,,98,8.19,5.00,San Diego Chargers / 2nd / 50th pick / 2006
58,2006,Tim Massaquoi\MassTi20,TE,0,Michigan,College Stats,6-3,259,4.85,,32,,,,Tampa Bay Buccaneers / 7th / 244th pick / 2006
59,2006,Ingle Martin\MartIn00,QB,0,Furman,,6-2,220,4.71,36.0,,111,7.13,4.17,Green Bay Packers / 5th / 148th pick / 2006
60,2006,Brandon Marshall\MarsBr00,WR,104,Central Florida,College Stats,6-4,229,4.52,37.0,,120,,,Denver Broncos / 4th / 119th pick / 2006
61,2006,Laurence Maroney\MaroLa00,RB,27,Minnesota,College Stats,6-0,217,4.48,,,,,,New England Patriots / 1st / 21st pick / 2006
62,2006,Deuce Lutui\LutuDe20,OG,39,Southern California,,6-4,334,5.35,28.0,26,97,8.04,4.76,Arizona Cardinals / 2nd / 41st pick / 2006
63,2006,Wali Lundy\LundWa00,RB,5,Virginia,College Stats,5-11,214,4.48,35.0,18,111,6.99,4.36,Houston Texans / 6th / 170th pick / 2006
64,2006,Marcedes Lewis\LewiMa00,TE,40,UCLA,College Stats,6-6,261,4.80,37.0,23,118,7.24,4.82,Jacksonville Jaguars / 1st / 28th pick / 2006
65,2006,Matt Leinart\LeinMa00,QB,12,Southern California,College Stats,6-5,223,4.90,,,,,,Arizona Cardinals / 1st / 10th pick / 2006
66,2006,Chris Kuper\KupeCh20,OG,37,North Dakota,,6-4,301,5.10,30.0,24,109,7.59,4.60,Denver Broncos / 5th / 161st pick / 2006
67,2006,Joe Klopfenstein\KlopJo00,TE,3,Colorado,College Stats,6-6,255,4.63,36.0,27,112,7.39,4.21,St. Louis Rams / 2nd / 46th pick / 2006
