Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,T.J. Yeldon\YeldT.00,RB,15,Alabama,College Stats,6-1,226,4.61,36.0,22,117,7.19,4.22,Jacksonville Jaguars / 2nd / 36th pick / 2015
2,2015,Cam Worthy\WortCa00,WR,,East Carolina,College Stats,6-2,211,4.59,,12,,,,
3,2015,Jameis Winston\WinsJa00,QB,35,Florida State,College Stats,6-4,231,4.97,28.5,,103,7.16,4.36,Tampa Bay Buccaneers / 1st / 1st pick / 2015
4,2015,Trey Williams\WillTr03,RB,0,Texas A&M,College Stats,5-7,195,4.49,33.5,18,119,6.84,4.12,
5,2015,Maxx Williams\WillMa04,TE,3,Minnesota,College Stats,6-4,249,4.78,34.5,17,117,7.30,4.37,Baltimore Ravens / 2nd / 55th pick / 2015
6,2015,Karlos Williams\WillKa01,RB,4,Florida State,College Stats,6-1,230,4.48,33.5,16,117,7.16,4.46,Buffalo Bills / 5th / 155th pick / 2015
7,2015,Daryl Williams\WillDa06,OT,19,Oklahoma,College Stats,6-5,327,5.34,26.0,27,97,,5.15,Carolina Panthers / 4th / 102nd pick / 2015
8,2015,Kevin White\WhitKe00,WR,1,West Virginia,College Stats,6-3,215,4.35,36.5,23,123,6.92,4.14,Chicago Bears / 1st / 7th pick / 2015
9,2015,DeAndrew White\WhitDe01,WR,0,Alabama,College Stats,5-11,193,4.44,34.5,,118,6.97,4.18,
10,2015,Darren Waller\WallDa01,WR,1,Georgia Tech,College Stats,6-6,238,4.46,37.0,12,125,7.07,4.25,Baltimore Ravens / 6th / 204th pick / 2015
11,2015,Clive Walford\WalfCl00,TE,7,Miami (FL),College Stats,6-4,251,4.79,35.0,20,120,7.32,4.57,Oakland Raiders / 3rd / 68th pick / 2015
12,2015,Laken Tomlinson\TomlLa01,OG,19,Duke,College Stats,6-3,323,5.33,31.5,25,103,8.17,4.87,Detroit Lions / 1st / 28th pick / 2015
13,2015,Eric Tomlinson\TomlEr01,TE,1,Texas-El Paso,College Stats,6-6,263,4.98,30.5,19,110,7.46,4.54,
14,2015,Tyrus Thompson\ThomTy01,OT,,Oklahoma,College Stats,6-5,324,5.35,29.0,29,97,,4.92,Minnesota Vikings / 6th / 185th pick / 2015
15,2015,Randall Telfer\TelfRa00,TE,0,Southern California,College Stats,6-4,250,4.83,,20,,,,Cleveland Browns / 6th / 198th pick / 2015
16,2015,Jaelen Strong\StroJa01,WR,2,Arizona State,College Stats,6-2,217,4.44,42.0,,123,,,Houston Texans / 3rd / 70th pick / 2015
17,2015,Donovan Smith\SmitDo02,OT,24,Penn State,College Stats,6-6,338,5.27,32.0,26,109,7.95,4.79,Tampa Bay Buccaneers / 2nd / 34th pick / 2015
