Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2004,Kevin Youngblood\YounKe00,WR,0,Clemson,College Stats,6-4,213,4.64,34.0,,,,,
2,2004,Jason Wright\WrigJa01,RB,10,Northwestern,College Stats,5-10,210,4.68,30.0,,111,7.35,4.12,
3,2004,Rashaun Woods\WoodRa00,WR,1,Oklahoma State,College Stats,6-2,202,4.47,39.0,,125,6.93,3.97,San Francisco 49ers / 1st / 31st pick / 2004
4,2004,Kellen Winslow\WinsKe01,TE,43,Miami (FL),College Stats,6-4,251,4.55,,24,120,,,Cleveland Browns / 1st / 6th pick / 2004
5,2004,Quincy Wilson\WilsQu00,RB,0,West Virginia,College Stats,5-9,225,4.60,33.5,26,118,7.68,4.36,Atlanta Falcons / 7th / 219th pick / 2004
6,2004,Mark Wilson\WilsMa21,OT,0,California,College Stats,6-7,314,5.36,28.5,24,108,7.53,4.49,Washington Redskins / 5th / 151st pick / 2004
7,2004,Kris Wilson\WilsKr00,TE,3,Pittsburgh,College Stats,6-2,248,4.62,35.0,24,119,6.88,4.10,Kansas City Chiefs / 2nd / 61st pick / 2004
8,2004,George Wilson\WilsGe01,WR,29,Arkansas,College Stats,6-0,213,4.63,35.0,,120,7.07,3.98,
9,2004,Shaud Williams\WillSh01,RB,3,Alabama,College Stats,5-7,193,4.73,34.0,15,114,7.01,4.15,
10,2004,Roy Williams\WillRo04,WR,49,Texas,College Stats,6-2,212,4.48,,,,,,Detroit Lions / 1st / 7th pick / 2004
11,2004,Reggie Williams\WillRe00,WR,25,Washington,College Stats,6-4,229,4.56,,,,,,Jacksonville Jaguars / 1st / 9th pick / 2004
12,2004,Ernest Wilford\WilfEr00,WR,23,Virginia Tech,College Stats,6-4,226,4.79,40.5,,130,,4.17,Jacksonville Jaguars / 4th / 120th pick / 2004
13,2004,Travelle Wharton\WharTr20,OT,54,South Carolina,,6-4,312,5.14,31.5,,105,8.31,4.58,Carolina Panthers / 3rd / 94th pick / 2004
