Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2007,Selvin Young\YounSe00,RB,9,Texas,College Stats,5-11,207,4.58,,,,,,
2,2007,Marshal Yanda\YandMa20,OT,86,Florida State,College Stats,6-4,307,5.15,,,,,,Baltimore Ravens / 3rd / 86th pick / 2007
3,2007,DeShawn Wynn\WynnDe00,RB,3,Florida,College Stats,5-10,232,4.47,31.5,,115,,,Green Bay Packers / 7th / 228th pick / 2007
4,2007,Mansfield Wrotto\WrotMa20,OG,6,Georgia Tech,College Stats,6-3,317,5.40,,27,92,8.34,4.92,Seattle Seahawks / 4th / 124th pick / 2007
5,2007,Dwayne Wright\WrigDw01,RB,1,Fresno State,College Stats,5-11,228,4.66,34.0,14,115,7.23,4.43,Buffalo Bills / 4th / 111th pick / 2007
6,2007,D'Juan Woods\WoodDJ20,WR,0,Oklahoma State,College Stats,6-0,208,4.58,36.5,,120,6.89,4.34,
7,2007,Garrett Wolfe\WolfGa00,RB,2,Northern Illinois,College Stats,5-7,186,4.39,35.5,22,116,6.69,4.08,Chicago Bears / 3rd / 93rd pick / 2007
8,2007,Paul Williams\WillPa00,WR,0,Fresno State,College Stats,6-1,205,4.45,38.5,,125,7.03,4.24,Tennessee Titans / 3rd / 80th pick / 2007
9,2007,Mike Sims-Walker\WalkMi01,WR,17,Missouri,College Stats,6-2,209,4.35,36.5,18,121,6.92,4.39,Jacksonville Jaguars / 3rd / 79th pick / 2007
10,2007,Darius Walker\WalkDa00,RB,3,Notre Dame,College Stats,5-10,206,4.55,40.5,19,123,7.18,4.39,
11,2007,Tony Ugoh\UgohTo20,OT,20,Arkansas,College Stats,6-5,301,5.06,32.5,32,117,,,Indianapolis Colts / 2nd / 42nd pick / 2007
12,2007,Joe Thomas\ThomJo28,OT,106,Wisconsin,College Stats,6-7,311,4.92,33.0,28,110,7.95,4.88,Cleveland Browns / 1st / 3rd pick / 2007
13,2007,Courtney Taylor\TaylCo00,WR,1,Auburn,College Stats,6-2,204,4.50,36.0,,122,7.22,4.28,Seattle Seahawks / 6th / 197th pick / 2007
14,2007,Chris Denman,OT,,Fresno State,College Stats,6-6,315,5.62,27.5,21,97,8.10,4.92,Tampa Bay Buccaneers / 7th / 214th pick / 2007
15,2007,Kasey Studdard\StudKa20,OG,8,Texas,,6-2,303,5.18,,32,,,,Houston Texans / 6th / 183rd pick / 2007
16,2007,Chansi Stuckey\StucCh20,WR,10,Clemson,College Stats,5-11,197,4.56,35.0,,120,6.91,4.14,New York Jets / 7th / 235th pick / 2007
