Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2012,Jerel Worthy\WortJe00,DT,4,Michigan State,College Stats,6-2,308,5.00,28.5,,107,7.60,4.56,Green Bay Packers / 2nd / 51st pick / 2012
2,2012,Derek Wolfe\WolfDe00,DT,40,Cincinnati,College Stats,6-5,295,4.93,33.5,33,108,7.26,4.44,Denver Broncos / 2nd / 36th pick / 2012
3,2012,Billy Winn\WinnBi00,DE,16,Boise State,College Stats,6-4,294,4.86,27.0,24,107,7.37,4.44,Cleveland Browns / 6th / 205th pick / 2012
4,2012,Kyle Wilber\WilbKy00,OLB,13,Wake Forest,College Stats,6-4,249,4.73,33.5,25,117,7.11,4.31,Dallas Cowboys / 4th / 113th pick / 2012
5,2012,Tahir Whitehead\WhitTa00,OLB,29,Temple,College Stats,6-1,233,4.62,37.0,21,124,7.14,4.37,Detroit Lions / 5th / 138th pick / 2012
6,2012,Corey White\WhitCo01,SS,13,Samford,,5-11,206,4.53,37.5,15,126,6.72,4.22,New Orleans Saints / 5th / 162nd pick / 2012
7,2012,Trevin Wade\WadeTr00,CB,5,Arizona,College Stats,5-10,192,4.52,34.5,18,116,6.87,4.00,Cleveland Browns / 7th / 245th pick / 2012
8,2012,Olivier Vernon\VernOl00,DE,45,Miami (FL),College Stats,6-2,261,4.73,34.5,31,122,7.39,4.50,Miami Dolphins / 3rd / 72nd pick / 2012
9,2012,Courtney Upshaw\UpshCo00,DE,27,Alabama,College Stats,6-2,272,4.74,,22,,,,Baltimore Ravens / 2nd / 35th pick / 2012
10,2012,DeAngelo Tyson\TysoDe00,DT,6,Georgia,College Stats,6-2,315,5.00,,,,,,Baltimore Ravens / 7th / 236th pick / 2012
11,2012,Christian Tupou\TupoCh00,DT,0,Southern California,College Stats,6-2,289,5.38,24.0,30,92,8.07,4.87,
12,2012,Danny Trevathan\TrevDa00,OLB,32,Kentucky,College Stats,6-0,237,4.84,31.5,18,111,,,Denver Broncos / 6th / 188th pick / 2012
13,2012,Christian Thompson\ThomCh01,FS,0,South Carolina State,,6-0,211,4.42,31.5,18,122,7.33,4.13,Baltimore Ravens / 4th / 130th pick / 2012
14,2012,Brandon Thompson\ThomBr01,DT,7,Clemson,College Stats,6-2,314,5.20,31.0,35,100,7.97,4.71,Cincinnati Bengals / 3rd / 93rd pick / 2012
15,2012,Brandon Taylor\TaylBr02,SS,1,LSU,College Stats,5-11,209,4.52,33.5,,118,7.32,4.37,San Diego Chargers / 3rd / 73rd pick / 2012
16,2012,Alameda Ta'amu\Ta'aAl00,DT,3,Washington,College Stats,6-2,348,5.30,26.0,35,103,,,Pittsburgh Steelers / 4th / 109th pick / 2012
17,2012,J.R. Sweezy\SweeJ.00,DT,34,North Carolina State,College Stats,6-5,298,4.97,36.0,21,113,7.40,4.41,Seattle Seahawks / 7th / 225th pick / 2012
18,2012,Nathan Stupar\StupNa01,OLB,8,Penn State,College Stats,6-2,241,4.65,31.0,21,116,6.84,4.28,Oakland Raiders / 7th / 230th pick / 2012
19,2012,Devon Still\StilDe00,DT,3,Penn State,College Stats,6-5,303,5.01,29.5,26,,,,Cincinnati Bengals / 2nd / 53rd pick / 2012
20,2012,Ryan Steed\SteeRy00,CB,0,Furman,,5-10,195,4.64,34.0,12,121,6.94,4.22,
21,2012,Sean Spence\SpenSe00,OLB,13,Miami (FL),College Stats,5-11,231,4.66,33.5,12,119,7.46,4.28,Pittsburgh Steelers / 3rd / 86th pick / 2012
22,2012,Scott Solomon\SoloSc00,DE,2,Rice,College Stats,6-3,262,4.88,35.0,34,124,7.17,4.25,Tennessee Titans / 7th / 211th pick / 2012
23,2012,Jacquies Smith\SmitJa01,DE,9,Missouri,College Stats,6-3,253,4.75,31.5,21,110,7.25,4.31,
24,2012,Harrison Smith\SmitHa00,SS,45,Notre Dame,College Stats,6-2,213,4.54,34.0,19,122,6.63,4.12,Minnesota Vikings / 1st / 29th pick / 2012
25,2012,Derrick Shelby\ShelDe00,DE,18,Utah,College Stats,6-3,266,4.87,35.5,26,116,7.09,4.50,
