Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2001,Paul Zukauskas\ZukaPa20,OG,11,Boston College,College Stats,6-5,307,5.30,,22,,,,Cleveland Browns / 7th / 203rd pick / 2001
2,2001,Brandon Winey\WineBr20,OT,3,LSU,,6-6,301,5.30,,,,,,Miami Dolphins / 6th / 164th pick / 2001
3,2001,Cedrick Wilson\WilsCe00,WR,24,Tennessee,College Stats,5-10,179,4.48,38.0,,123,,,San Francisco 49ers / 6th / 169th pick / 2001
4,2001,Maurice Williams\WillMa25,OT,54,Michigan,,6-5,304,5.20,,24,,,,Jacksonville Jaguars / 2nd / 43rd pick / 2001
5,2001,Marcus Williams\WillMa21,WR,0,Washington State,College Stats,6-5,230,4.56,41.0,,130,7.37,4.20,
6,2001,Louis Williams\WillLo20,OG,0,LSU,,6-4,299,5.48,28.5,25,103,7.86,4.67,Carolina Panthers / 7th / 211th pick / 2001
7,2001,Boo Williams\WillBo00,TE,11,Arkansas,College Stats,6-4,237,4.72,35.5,,119,7.10,4.33,
8,2001,Reggie White\WhitRe20,RB,0,Oklahoma State,College Stats,6-0,228,4.58,37.5,17,114,7.48,4.40,
9,2001,Chris Weinke\WeinCh00,QB,9,Florida State,College Stats,6-4,226,5.20,,,,,,Carolina Panthers / 4th / 106th pick / 2001
10,2001,Reggie Wayne\WaynRe00,WR,155,Miami (FL),College Stats,6-0,198,4.45,,,,,,Indianapolis Colts / 1st / 30th pick / 2001
11,2001,Kenyatta Walker\WalkKe21,OT,32,Florida,,6-5,311,5.17,31.5,24,109,7.70,4.60,Tampa Bay Buccaneers / 1st / 14th pick / 2001
12,2001,Keydrick Vincent\VincKe20,OG,40,Mississippi,,6-5,328,5.61,32.5,23,94,,,
13,2001,Michael Vick\VickMi00,QB,113,Virginia Tech,College Stats,6-0,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001
14,2001,Marques Tuiasosopo\TuiaMa00,QB,1,Washington,College Stats,6-1,223,4.71,35.5,,115,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001
15,2001,LaDainian Tomlinson\TomlLa00,RB,157,TCU,College Stats,5-10,221,4.46,40.5,18,124,6.84,4.21,San Diego Chargers / 1st / 5th pick / 2001
16,2001,Anthony Thomas\ThomAn01,RB,29,Michigan,College Stats,6-2,229,4.58,32.5,20,115,7.48,4.44,Chicago Bears / 2nd / 38th pick / 2001
17,2001,David Terrell\TerrDa00,WR,12,Michigan,College Stats,6-3,213,4.43,,,,,,Chicago Bears / 1st / 8th pick / 2001
18,2001,Dauntae' Finger,TE,,North Carolina,College Stats,6-4,262,5.09,33.5,15,103,7.95,4.59,Tampa Bay Buccaneers / 7th / 205th pick / 2001
19,2001,Vinny Sutherland\SuthVi00,WR,0,Purdue,College Stats,5-9,192,4.48,,,,,,Atlanta Falcons / 5th / 136th pick / 2001
20,2001,Marques Sullivan\SullMa20,OT,11,Illinois,,6-5,338,5.32,30.5,28,98,8.36,4.80,Buffalo Bills / 5th / 144th pick / 2001
21,2001,Alex Sulfsted\SulfAl20,OG,2,Miami (OH),,6-4,312,5.30,30.5,,96,,,Kansas City Chiefs / 6th / 176th pick / 2001
22,2001,Tony Stewart\StewTo00,TE,4,Penn State,College Stats,6-5,256,4.96,35.5,,109,7.30,4.40,Philadelphia Eagles / 5th / 147th pick / 2001
23,2001,Steve Smith\SmitSt01,WR,139,Utah,College Stats,5-9,184,4.41,38.5,,121,7.44,4.25,Carolina Panthers / 3rd / 74th pick / 2001
24,2001,Omar Smith\SmitOm20,OG,1,Kentucky,,6-2,293,5.33,30.0,21,98,,,
25,2001,Marcel Shipp\ShipMa00,RB,18,Massachusetts,,5-11,222,4.71,32.5,18,115,,,
26,2001,Josh Booty,QB,,LSU,College Stats,6-2,221,4.90,29.5,,105,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001
27,2001,Sage Rosenfels\RoseSa00,QB,14,Iowa State,College Stats,6-4,228,4.74,34.0,,107,7.07,4.29,Washington Redskins / 4th / 109th pick / 2001
28,2001,Koren Robinson\RobiKo00,WR,39,North Carolina State,College Stats,6-1,211,4.61,,,,,,Seattle Seahawks / 1st / 9th pick / 2001
29,2001,Mike Roberg\RobeMi00,TE,0,Idaho,College Stats,6-4,256,4.75,34.5,16,117,7.28,4.40,Carolina Panthers / 7th / 227th pick / 2001
30,2001,Bernard Robertson\RobeBe20,OG,3,Tulane,,6-3,308,5.24,30.0,19,106,8.06,4.58,Chicago Bears / 5th / 138th pick / 2001
31,2001,Marcellus Rivers\RiveMa00,TE,3,Oklahoma State,College Stats,6-4,247,4.84,32.5,7,113,7.04,4.25,
32,2001,Ken-Yon Rambo\RambKe00,WR,1,Ohio State,College Stats,6-1,196,4.34,,,,,,Oakland Raiders / 7th / 229th pick / 2001
33,2001,Ryan Prince\PrinRy20,TE,0,Weber State,,6-4,257,4.99,31.0,20,102,7.65,4.45,
34,2001,Nate Poole\PoolNa01,WR,3,Marshall,College Stats,6-1,198,4.79,32.5,,112,7.26,4.22,
35,2001,Chris Taylor,WR,,Texas A&M,College Stats,5-11,183,4.40,35.5,,115,6.81,3.93,Pittsburgh Steelers / 7th / 218th pick / 2001
36,2001,Jesse Palmer\PalmJe00,QB,1,Florida,College Stats,6-2,231,4.78,35.5,,112,7.13,4.29,New York Giants / 4th / 125th pick / 2001
37,2001,Dan O'Leary\OLeaDa20,TE,1,Notre Dame,College Stats,6-4,252,5.02,32.0,16,113,7.40,4.31,Buffalo Bills / 6th / 195th pick / 2001
38,2001,Moran Norris\NorrMo00,FB,1,Kansas,College Stats,6-1,250,4.63,31.0,37,114,7.56,4.50,New Orleans Saints / 4th / 115th pick / 2001
39,2001,Dennis Norman\NormDe20,OG,18,Princeton,,6-4,305,5.16,35.0,25,107,8.08,4.72,Seattle Seahawks / 7th / 222nd pick / 2001
40,2001,Mathias Nkwenti\NkweMa20,OG,0,Temple,,6-3,293,5.57,35.5,29,113,7.66,4.18,Pittsburgh Steelers / 4th / 111th pick / 2001
41,2001,Steve Neal\NealSt20,WR,50,Western Michigan,College Stats,6-1,190,4.59,36.0,,119,7.18,4.19,
42,2001,Brian Natkin\NatkBr00,TE,0,Texas-El Paso,College Stats,6-2,251,4.95,27.0,20,98,7.78,4.59,
43,2001,Santana Moss\MossSa00,WR,93,Miami (FL),College Stats,5-10,184,4.31,,,,,,New York Jets / 1st / 16th pick / 2001
44,2001,Quincy Morgan\MorgQu00,WR,22,Kansas State,College Stats,6-1,211,4.48,,,,,,Cleveland Browns / 2nd / 33rd pick / 2001
45,2001,Freddie Mitchell\MitcFr00,WR,14,UCLA,College Stats,5-11,185,4.46,39.5,,120,6.95,4.06,Philadelphia Eagles / 1st / 25th pick / 2001
46,2001,Travis Minor\MinoTr00,RB,11,Florida State,College Stats,5-10,197,4.44,32.0,9,115,,,Miami Dolphins / 3rd / 85th pick / 2001
47,2001,Snoop Minnis\MinnMa00,WR,5,Florida State,College Stats,6-1,171,4.57,37.5,,115,7.06,4.07,Kansas City Chiefs / 3rd / 77th pick / 2001
48,2001,Josh Heupel,QB,,Oklahoma,College Stats,6-2,215,4.85,37.5,,114,7.18,4.15,Miami Dolphins / 6th / 177th pick / 2001
49,2001,Shawn Draper,OG,,Alabama,College Stats,6-3,303,5.30,32.0,17,106,8.10,4.77,Miami Dolphins / 5th / 156th pick / 2001
50,2001,Shad Meier\MeieSh00,TE,3,Kansas State,College Stats,6-5,256,4.85,34.0,20,113,7.14,4.15,Tennessee Titans / 3rd / 90th pick / 2001
51,2001,Mike McMahon\McMaMi00,QB,6,Rutgers,College Stats,6-2,207,4.57,37.5,,124,7.12,4.12,Detroit Lions / 5th / 149th pick / 2001
52,2001,Kareem McKenzie\McKeKa20,OT,80,Penn State,,6-6,328,5.33,33.0,20,104,7.87,4.80,New York Jets / 3rd / 79th pick / 2001
